Ticker,TieneCedear,TickerCedearARS,TickerCedearCCL,CedearsPorAccionUSA,Empresa,Sector,Industria,TipoUniverso,Universo,MarketCap,Beta,ROE,RiskProfile,RiskScore,Precio,RSI,MA50,MA200,MACD_Bull,Pullback,Trend,PE,PriceToBook,EBITDA,NetIncome,DebtToEquity,DebtToEbitda,TargetPrice,Upside_%,TechScore,FundScore,TotalScore,Setup,SignalState,Conviccion,CapitalSugerido_%,SectorScorePromedio,RankingSector,score_anterior,Evolucion,PrioridadRadar
JNJ,False,,,,Johnson & Johnson,Healthcare,Drug Manufacturers - General,CORE,Dow Jones,573483646976.0,0.329,,DEFENSIVO,-1,234.63,39.85,241.33,202.73,False,True,True,21.59,7.03,34104750080.0,21040001024.0,60.5,1.45,241.92,3.11,3,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.32,7,5,0,BAJA
TEAM,False,,,,Atlassian Corporation,Technology,Software - Application,GROWTH,S&P 500,17317437440.0,0.994,-0.13465999,BALANCEADO,1,66.4,45.59,74.54,140.99,True,True,False,,10.96,-22988000.0,-189224992.0,76.38,,165.22,148.82,2,2,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.41,6,5,0,BAJA
SNOW,False,,,,Snowflake Inc.,Technology,Software - Application,CORE,S&P 500,49848213504.0,1.228,-0.53908,AGRESIVO,1,143.61,42.5,163.95,210.73,True,True,False,,25.77,-1286213248.0,-1331616000.0,142.46,,237.89,65.65,2,2,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.41,6,4,1,BAJA
NVDA,False,,,,NVIDIA Corporation,Technology,Semiconductors,CORE,S&P 500,4798293213184.0,2.335,1.01485,ESPECULATIVO,-1,201.01,70.9,183.28,181.77,True,False,True,40.37,30.5,133230002176.0,120066998272.0,7.25,0.09,268.22,33.44,2,4,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.41,6,5,0,BAJA
WFC,False,,,,Wells Fargo & Company,Financial Services,Banks - Diversified,CORE,S&P 500,247441604608.0,,0.12028,SIN DATO,0,81.79,50.33,82.63,84.48,True,True,False,12.44,1.51,,20668999680.0,,,98.62,20.58,2,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.04,9,5,0,BAJA
BA,False,,,,The Boeing Company,Industrials,Aerospace & Defense,CORE,Dow Jones,175754035200.0,1.128,2.90084,BALANCEADO,1,226.26,60.54,219.88,219.41,True,False,True,90.18,32.21,-3238000128.0,1888999936.0,1032.89,,266.76,17.9,2,2,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.86,2,6,-1,BAJA
REGN,False,,,,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,CORE,S&P 500,79243337728.0,0.397,0.14864999,DEFENSIVO,-1,748.47,46.27,765.33,674.61,False,True,True,18.07,2.46,4245700096.0,4504900096.0,9.51,0.7,875.45,16.97,2,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.32,7,5,0,BAJA
KO,True,KO.BA,KOD.BA,10.0,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,CORE,Dow Jones,323822944256.0,0.361,0.43323,DEFENSIVO,-1,75.93,47.05,77.54,71.62,False,True,True,24.75,10.06,16078000128.0,13107000320.0,139.79,2.98,83.67,10.19,2,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.75,3,5,0,BAJA
MRK,False,,,,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,CORE,S&P 500,292360355840.0,0.275,0.36882,DEFENSIVO,-1,117.32,46.04,119.1,98.4,False,True,True,16.24,5.56,29105000448.0,18254000128.0,95.96,1.74,129.26,10.18,2,4,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.32,7,5,0,BAJA
NEE,False,,,,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,CORE,S&P 500,189366353920.0,0.733,0.083739996,DEFENSIVO,0,90.69,42.98,92.11,82.2,False,True,True,27.52,3.46,14138000384.0,6834999808.0,146.24,6.88,95.16,4.93,2,3,5,PULLBACK,SEGUIMIENTO,BAJA,4,5.17,8,5,0,BAJA
LRCX,False,,,,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,CORE,S&P 500,327371653120.0,1.79,0.65565,AGRESIVO,0,266.5,64.2,231.66,166.3,True,False,True,53.41,32.14,7343528960.0,6213408768.0,44.2,0.61,279.13,4.74,2,3,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.41,6,6,-1,BAJA
AMD,False,,,,"Advanced Micro Devices, Inc.",Technology,Semiconductors,CORE,S&P 500,416455852032.0,1.963,0.07082,ESPECULATIVO,0,277.3,79.29,212.11,202.45,True,False,True,98.24,6.61,6744999936.0,4268999936.0,6.36,0.59,289.35,4.34,2,3,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.41,6,5,0,BAJA
CB,False,,,,Chubb Limited,Financial Services,Insurance - Property & Casualty,CORE,S&P 500,128891314176.0,0.503,0.14337,DEFENSIVO,-1,330.95,55.02,329.28,297.77,True,False,True,12.84,1.75,13267999744.0,10309999616.0,30.94,1.86,342.09,3.37,2,4,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.04,9,5,0,BAJA
SBUX,False,,,,Starbucks Corporation,Consumer Cyclical,Restaurants,CORE,S&P 500,112631193600.0,0.944,,BALANCEADO,1,100.85,65.02,96.11,89.79,True,False,True,82.38,-13.42,5297299968.0,1368899968.0,,4.81,99.52,-1.32,2,2,5,TENDENCIA FIRME,SEGUIMIENTO,BAJA,4,5.64,5,5,0,BAJA
